Answer.English,Answer.country,Answer.profcheck1,Answer.profcheck2,WorkerId,TrialNum,Answer.Rating,TrialType,Voice,Plausibility,Item,Input.trial
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,22,1,AI,active,implausible,57,The steak ate the carnivore.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,23,7,AAN,passive,plausible,153,The insurgent was banished by the monarch.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,24,7,AAN,active,plausible,125,The biker defied the trainer.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,25,1,AI,active,implausible,15,The faucet repaired the handyman.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,26,7,AAN,passive,plausible,361,The newsagent was promoted by the TV station head.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,27,6,AAR,active,plausible1,237,The donor introduced the broker.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,28,7,AAR,active,plausible1,185,The churchgoer hugged the preacher.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,29,7,AAN,active,plausible,161,The impersonator conned the inspector.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,30,1,AI,active,implausible,293,The rules emphasized the counselor.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,31,6,AAN,passive,implausible,147,The baron was chosen by the successor.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,32,1,AI,active,implausible,73,The paper edited the advisor.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,33,1,AI,passive,implausible,49,The domestic was cleaned by the wash basin.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,34,7,AAN,passive,implausible,163,The pyromaniac was unnerved by the shopkeeper.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,35,7,AI,passive,plausible,7,The beverage was requested by the adventurer.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,36,7,AI,active,plausible,59,The man drank the soda.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,37,7,AAN,active,implausible,177,The tobacconist cautioned the environmentalist.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,38,7,AAR,passive,plausible0,259,The vandal was confronted by the accuser.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,39,7,AAR,passive,plausible1,415,The plumber was devastated by the foreman.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,40,7,AAR,active,plausible0,221,The musician admired the diva.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,41,5,AI,active,plausible,47,The contractor laundered the trousers.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,42,7,AI,active,plausible,301,The bookworm recited the poem.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,43,7,AAN,active,plausible,329,The exorcist vanquished the spirit.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,44,NA,AAN,active,implausible,105,The director badgered the admirer.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,45,1,AI,passive,implausible,23,The skipper was guaranteed by the victory.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,46,2,AAN,active,implausible,155,The industrialist burgled the robber.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,47,7,AI,passive,plausible,53,The stash was hidden by the hoarder.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,48,1,AI,passive,implausible,85,The sheriff was inspected by the estate.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,49,2,AAN,passive,implausible,331,The paparazzi was stalked by the pop star.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,50,4,AAN,active,implausible,343,The Olympian weighed the personal trainer.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,51,7,AI,active,plausible,21,The cook grilled the octopus.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,52,1,AI,active,implausible,321,The pipe smoked the crackhead.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,53,7,AI,passive,plausible,87,The photograph was signed by the celebrity.
yes,USA,Yes,Yes,A1YH2I4Y2SYAXJ,54,7,AI,active,plausible,81,The stewardess pulled the suitcase.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,1,5,AAN,passive,plausible,163,The shopkeeper was unnerved by the pyromaniac.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,2,1,AAN,passive,implausible,353,The channeler was sensed by the ghost.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,3,2,AI,passive,implausible,81,The stewardess was pulled by the suitcase.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,4,7,AI,active,plausible,73,The advisor edited the paper.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,5,4,AAN,active,implausible,153,The insurgent banished the monarch.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,6,1,AI,passive,implausible,59,The man was drunk by the soda.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,7,6,AAR,passive,plausible1,259,The accuser was confronted by the vandal.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,8,6,AAR,passive,plausible0,375,The barrister was paid by the photographer.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,9,7,AAN,active,implausible,173,The gold medalist praised the judge.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,10,7,AAR,passive,plausible0,237,The donor was introduced by the broker.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,11,1,filler,filler,NA,1,Please select the leftmost option.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,12,7,AAN,active,plausible,105,The admirer badgered the director.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,13,7,AI,active,plausible,321,The crackhead smoked the pipe.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,14,6,AAR,passive,plausible1,197,The valet was entertained by the envoy.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,15,1,AI,passive,implausible,47,The contractor were laundered by the trousers.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,16,7,filler,filler,NA,2,Please select the rightmost option.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,17,7,AAN,active,implausible,361,The newsagent promoted the TV station head.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,18,7,AAN,active,plausible,155,The robber burgled the industrialist.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,19,7,AAR,active,plausible1,221,The diva admired the musician.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,20,1,AI,passive,implausible,21,The cook was grilled by the octopus.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,21,1,AI,active,implausible,7,The beverage requested the adventurer.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,22,2,AAN,passive,implausible,329,The exorcist was vanquished by the spirit.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,23,7,AI,passive,plausible,309,The gun was loaded by the minuteman.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,24,1,AI,active,implausible,53,The stash hid the hoarder.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,25,1,AI,active,implausible,31,The word mispronounced the announcer.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,26,3,AAR,passive,plausible1,379,The fashionista was humiliated by the mode.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,27,1,AI,passive,implausible,301,The bookworm was recited by the poem.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,28,7,AI,passive,plausible,23,The victory was guaranteed by the skipper.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,29,7,AI,active,plausible,57,The carnivore ate the steak.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,30,7,AI,passive,plausible,49,The wash basin was cleaned by the domestic.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,31,7,AAR,active,plausible0,207,The actuary assuaged the creditor.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,32,7,AAR,active,plausible1,183,The athlete vexed the commentator.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,33,5,AAR,active,plausible0,415,The plumber devastated the foreman.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,34,7,AAN,passive,plausible,331,The pop star was stalked by the paparazzi.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,35,7,AAR,passive,plausible1,407,The cinematographer was favored by the movie star.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,36,7,AAR,active,plausible0,383,The neighbor snubbed the newcomer.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,37,6,AAN,active,implausible,341,The cadet supervised the colonel.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,38,7,AAR,active,plausible0,263,The protestor quoted the leader.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,39,6,AAR,active,plausible1,265,The taxi-driver repulsed the postal worker.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,40,7,AAN,active,plausible,343,The personal trainer weighed the Olympian.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,41,7,AAN,passive,plausible,147,The successor was chosen by the baron.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,42,7,AI,passive,plausible,85,The estate was inspected by the sheriff.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,43,6,AAN,passive,implausible,161,The impersonator was conned by the inspector.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,44,7,AI,active,plausible,293,The counselor emphasized the rules.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,45,7,AAN,passive,implausible,125,The biker was defied by the trainer.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,46,7,AAR,passive,plausible0,399,The retailer was harassed by the claims adjuster.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,47,7,AI,active,plausible,15,The handyman repaired the faucet.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,48,1,AI,active,implausible,87,The photograph signed the celebrity.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,49,1,AI,active,implausible,285,The button pressed the attendant.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,50,7,AAR,passive,plausible0,185,The churchgoer was hugged by the preacher.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,51,7,AI,passive,plausible,63,The dinner was prepared by the woman.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,52,7,AAR,active,plausible1,397,The loyalist upset the infantryman.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,53,7,AAN,passive,plausible,357,The ruffian was released by the bailiff.
yes,USA,Yes,Yes,A270HX8LH9LJ8W,54,6,AAN,active,plausible,177,The environmentalist cautioned the tobacconist.
yes,USA,Yes,Yes,A3R5OJR60C6004,1,7,AI,passive,plausible,45,The curtains were recommended by the decorator.
yes,USA,Yes,Yes,A3R5OJR60C6004,2,1,AI,active,implausible,75,The graph created the bookkeeper.
yes,USA,Yes,Yes,A3R5OJR60C6004,3,5,AAN,active,implausible,327,The actress cast the producer.
yes,USA,Yes,Yes,A3R5OJR60C6004,4,2,AI,passive,implausible,65,The sightseer was misplaced by the memento.
yes,USA,Yes,Yes,A3R5OJR60C6004,5,1,AI,active,implausible,289,The umbrella forgot the couch-potato.
yes,USA,Yes,Yes,A3R5OJR60C6004,6,7,AI,active,plausible,61,The instructor purchased the computer.
yes,USA,Yes,Yes,A3R5OJR60C6004,7,7,AAN,active,plausible,335,The streetwalker undercharged the seaman.
yes,USA,Yes,Yes,A3R5OJR60C6004,8,7,AAN,active,plausible,151,The father pampered the infant.
yes,USA,Yes,Yes,A3R5OJR60C6004,9,4,AAN,active,implausible,145,The kid reprimanded the headmaster.
yes,USA,Yes,Yes,A3R5OJR60C6004,10,7,AI,active,plausible,291,The hacker memorized the password.
yes,USA,Yes,Yes,A3R5OJR60C6004,11,1,AI,passive,implausible,297,The fisherman was emptied by the trashcan.
yes,USA,Yes,Yes,A3R5OJR60C6004,12,7,AAN,passive,plausible,363,The tribesman was studied by the anthropologist.
yes,USA,Yes,Yes,A3R5OJR60C6004,13,7,AAN,passive,plausible,123,The apprentice was trained by the artisan.
yes,USA,Yes,Yes,A3R5OJR60C6004,14,7,AI,passive,plausible,27,The banner was raised by the soldier.
yes,USA,Yes,Yes,A3R5OJR60C6004,15,1,AAN,passive,implausible,359,The president was pardoned by the traitor.
yes,USA,Yes,Yes,A3R5OJR60C6004,16,5,AI,active,plausible,11,The overseer provided the alcohol.
yes,USA,Yes,Yes,A3R5OJR60C6004,17,1,filler,filler,NA,1,Please select the leftmost option.
yes,USA,Yes,Yes,A3R5OJR60C6004,18,1,AAN,passive,implausible,337,The jury was acquitted by the economist.
yes,USA,Yes,Yes,A3R5OJR60C6004,19,7,AI,passive,plausible,67,The schedule was verified by the humorist.
yes,USA,Yes,Yes,A3R5OJR60C6004,20,7,AAR,active,plausible0,387,The baker mentioned the miller.
yes,USA,Yes,Yes,A3R5OJR60C6004,21,1,AI,active,implausible,51,The pill took the convalescent.
yes,USA,Yes,Yes,A3R5OJR60C6004,22,4,AAN,active,implausible,89,The boy tutored the nanny.
yes,USA,Yes,Yes,A3R5OJR60C6004,23,7,AAN,active,plausible,131,The smuggler bribed the bureaucrat.
yes,USA,Yes,Yes,A3R5OJR60C6004,24,7,AAR,active,plausible1,193,The weatherman annoyed the drummer.
yes,USA,Yes,Yes,A3R5OJR60C6004,25,7,AAR,passive,plausible1,403,The physicist was nagged by the mathematician.
yes,USA,Yes,Yes,A3R5OJR60C6004,26,7,AAN,active,plausible,107,The paramedic revived the youth.
yes,USA,Yes,Yes,A3R5OJR60C6004,27,1,AI,active,implausible,315,The fund established the supremacist.
yes,USA,Yes,Yes,A3R5OJR60C6004,28,7,AAR,passive,plausible0,395,The swimmer was impressed by the surfer.
yes,USA,Yes,Yes,A3R5OJR60C6004,29,7,AI,active,plausible,323,The charlatan burned the contract.
yes,USA,Yes,Yes,A3R5OJR60C6004,30,7,AAN,passive,implausible,159,The windbag was taunted by the recluse.
yes,USA,Yes,Yes,A3R5OJR60C6004,31,6,AAR,passive,plausible1,271,The culprit was betrayed by the hunter.
yes,USA,Yes,Yes,A3R5OJR60C6004,32,7,filler,filler,NA,2,Please select the rightmost option.
yes,USA,Yes,Yes,A3R5OJR60C6004,33,7,AAN,active,implausible,349,The chiropractor thanked the tennis player.
yes,USA,Yes,Yes,A3R5OJR60C6004,34,7,AAR,passive,plausible1,233,The missionary was baffled by the oracle.
yes,USA,Yes,Yes,A3R5OJR60C6004,35,7,AAN,passive,plausible,141,The inmate was caught by the warden.
yes,USA,Yes,Yes,A3R5OJR60C6004,36,6,AAR,active,plausible1,215,The farmer affronted the mapmaker.
yes,USA,Yes,Yes,A3R5OJR60C6004,37,1,AI,passive,implausible,17,The receptionist was tidied by the table.
yes,USA,Yes,Yes,A3R5OJR60C6004,38,7,AAR,passive,plausible1,199,The acrobat was pushed by the stranger.
yes,USA,Yes,Yes,A3R5OJR60C6004,39,7,AAR,passive,plausible0,249,The gnome was protected by the wizard.
yes,USA,Yes,Yes,A3R5OJR60C6004,40,7,AAR,passive,plausible0,217,The entertainer was awed by the poet.
yes,USA,Yes,Yes,A3R5OJR60C6004,41,6,AAR,active,plausible1,391,The fieldworker misled the sharecropper.
yes,USA,Yes,Yes,A3R5OJR60C6004,42,4,AAN,passive,implausible,139,The driver was transported by the ambassador.
yes,USA,Yes,Yes,A3R5OJR60C6004,43,3,AAN,passive,plausible,347,The tour-guide was chased by the lion.
yes,USA,Yes,Yes,A3R5OJR60C6004,44,7,AI,passive,plausible,307,The passport was photocopied by the travel-agent.
yes,USA,Yes,Yes,A3R5OJR60C6004,45,4,AAN,active,implausible,129,The cousin shocked the genius.
yes,USA,Yes,Yes,A3R5OJR60C6004,46,7,AAR,active,plausible1,243,The messenger swindled the interpreter.
yes,USA,Yes,Yes,A3R5OJR60C6004,47,7,AAN,passive,implausible,109,The prankster was duped by the marketer.
yes,USA,Yes,Yes,A3R5OJR60C6004,48,6,AAR,passive,plausible0,195,The defendant was belittled by the go-between.
yes,USA,Yes,Yes,A3R5OJR60C6004,49,7,AAR,active,plausible0,205,The nobleman married the baroness.
yes,USA,Yes,Yes,A3R5OJR60C6004,50,7,AAR,active,plausible0,409,The bricklayer outraged the crane operator.
yes,USA,Yes,Yes,A3R5OJR60C6004,51,5,AAR,active,plausible0,239,The shrink commended the dean.
yes,USA,Yes,Yes,A3R5OJR60C6004,52,1,AI,passive,implausible,39,The nutritionist was detested by the marmalade.
yes,USA,Yes,Yes,A3R5OJR60C6004,53,6,AAN,active,plausible,355,The huntsman trapped the deer.
yes,USA,Yes,Yes,A3R5OJR60C6004,54,7,AAN,passive,plausible,171,The first lady was petrified by the terrorist.
yes,USA,Yes,Yes,AU2RMH9IZP60M,1,2,AI,active,plausible,289,The couch-potato forgot the umbrella.
yes,USA,Yes,Yes,AU2RMH9IZP60M,2,1,AI,active,implausible,27,The banner raised the soldier.
yes,USA,Yes,Yes,AU2RMH9IZP60M,3,1,AI,passive,implausible,61,The instructor was purchased by the computer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,4,7,AI,passive,plausible,297,The trashcan was emptied by the fisherman.
yes,USA,Yes,Yes,AU2RMH9IZP60M,5,3,AI,passive,implausible,323,The charlatan was burnt by the contract.
yes,USA,Yes,Yes,AU2RMH9IZP60M,6,7,AI,passive,plausible,39,The marmalade was detested by the nutritionist.
yes,USA,Yes,Yes,AU2RMH9IZP60M,7,7,AI,active,plausible,75,The bookkeeper created the graph.
yes,USA,Yes,Yes,AU2RMH9IZP60M,8,5,AAN,passive,implausible,355,The huntsman was trapped by the deer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,9,1,filler,filler,NA,1,Please select the leftmost option.
yes,USA,Yes,Yes,AU2RMH9IZP60M,10,7,AAN,active,plausible,327,The producer cast the actress.
yes,USA,Yes,Yes,AU2RMH9IZP60M,11,7,AI,active,plausible,51,The convalescent took the pill.
yes,USA,Yes,Yes,AU2RMH9IZP60M,12,7,filler,filler,NA,2,Please select the rightmost option.
yes,USA,Yes,Yes,AU2RMH9IZP60M,13,5,AAN,active,implausible,347,The tour-guide chased the lion.
yes,USA,Yes,Yes,AU2RMH9IZP60M,14,6,AAR,active,plausible0,403,The physicist nagged the mathematician.
yes,USA,Yes,Yes,AU2RMH9IZP60M,15,7,AAR,passive,plausible1,249,The wizard was protected by the gnome.
yes,USA,Yes,Yes,AU2RMH9IZP60M,16,5,AAR,passive,plausible0,193,The weatherman was annoyed by the drummer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,17,7,AAR,passive,plausible0,243,The messenger was swindled by the interpreter.
yes,USA,Yes,Yes,AU2RMH9IZP60M,18,1,AI,passive,implausible,11,The overseer was provided by the alcohol.
yes,USA,Yes,Yes,AU2RMH9IZP60M,19,7,AAN,active,plausible,145,The headmaster reprimanded the kid.
yes,USA,Yes,Yes,AU2RMH9IZP60M,20,6,AI,active,implausible,67,The schedule verified the humorist.
yes,USA,Yes,Yes,AU2RMH9IZP60M,21,2,AAN,passive,implausible,107,The paramedic was revived by the youth.
yes,USA,Yes,Yes,AU2RMH9IZP60M,22,3,AAN,active,implausible,171,The first lady petrified the terrorist.
yes,USA,Yes,Yes,AU2RMH9IZP60M,23,1,AAN,passive,implausible,151,The father was pampered by the infant.
yes,USA,Yes,Yes,AU2RMH9IZP60M,24,7,AI,passive,plausible,17,The table was tidied by the receptionist.
yes,USA,Yes,Yes,AU2RMH9IZP60M,25,6,AAR,passive,plausible0,391,The fieldworker was misled by the sharecropper.
yes,USA,Yes,Yes,AU2RMH9IZP60M,26,6,AAR,passive,plausible1,217,The poet was awed by the entertainer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,27,2,AAR,passive,plausible1,195,The go-between was belittled by the defendant.
yes,USA,Yes,Yes,AU2RMH9IZP60M,28,5,AAR,passive,plausible0,215,The farmer was affronted by the mapmaker.
yes,USA,Yes,Yes,AU2RMH9IZP60M,29,5,AAR,active,plausible1,409,The crane operator outraged the bricklayer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,30,2,AAR,active,plausible0,233,The missionary baffled the oracle.
yes,USA,Yes,Yes,AU2RMH9IZP60M,31,2,AAN,active,implausible,141,The inmate caught the warden.
yes,USA,Yes,Yes,AU2RMH9IZP60M,32,1,AI,active,implausible,307,The passport photocopied the travel-agent.
yes,USA,Yes,Yes,AU2RMH9IZP60M,33,7,AAN,active,plausible,349,The tennis player thanked the chiropractor.
yes,USA,Yes,Yes,AU2RMH9IZP60M,34,7,AAN,passive,plausible,139,The ambassador was transported by the driver.
yes,USA,Yes,Yes,AU2RMH9IZP60M,35,2,AAN,passive,plausible,359,The traitor was pardoned by the president.
yes,USA,Yes,Yes,AU2RMH9IZP60M,36,2,AAR,active,plausible0,199,The acrobat pushed the stranger.
yes,USA,Yes,Yes,AU2RMH9IZP60M,37,1,AI,passive,implausible,291,The hacker was memorized by the password.
yes,USA,Yes,Yes,AU2RMH9IZP60M,38,3,AAN,passive,implausible,131,The smuggler was bribed by the bureaucrat.
yes,USA,Yes,Yes,AU2RMH9IZP60M,39,7,AAR,active,plausible1,205,The baroness married the nobleman.
yes,USA,Yes,Yes,AU2RMH9IZP60M,40,7,AAN,active,plausible,89,The nanny tutored the boy.
yes,USA,Yes,Yes,AU2RMH9IZP60M,41,2,AAN,active,implausible,123,The apprentice trained the artisan.
yes,USA,Yes,Yes,AU2RMH9IZP60M,42,6,AAR,active,plausible0,271,The culprit betrayed the hunter.
yes,USA,Yes,Yes,AU2RMH9IZP60M,43,6,AAR,passive,plausible1,395,The surfer was impressed by the swimmer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,44,6,AI,active,plausible,315,The supremacist established the fund.
yes,USA,Yes,Yes,AU2RMH9IZP60M,45,6,AI,passive,plausible,65,The memento was misplaced by the sightseer.
yes,USA,Yes,Yes,AU2RMH9IZP60M,46,1,AI,active,implausible,45,The curtains recommended the decorator.
yes,USA,Yes,Yes,AU2RMH9IZP60M,47,7,AAN,passive,plausible,109,The marketer was duped by the prankster.
yes,USA,Yes,Yes,AU2RMH9IZP60M,48,7,AAN,passive,plausible,337,The economist was acquitted by the jury.
yes,USA,Yes,Yes,AU2RMH9IZP60M,49,4,AAN,active,implausible,363,The tribesman studied the anthropologist.
yes,USA,Yes,Yes,AU2RMH9IZP60M,50,5,AAR,active,plausible1,239,The dean commended the shrink.
yes,USA,Yes,Yes,AU2RMH9IZP60M,51,4,AAN,active,plausible,129,The genius shocked the cousin.
yes,USA,Yes,Yes,AU2RMH9IZP60M,52,3,AAR,active,plausible1,387,The miller mentioned the baker.
yes,USA,Yes,Yes,AU2RMH9IZP60M,53,2,AAN,passive,implausible,335,The streetwalker was undercharged by the seaman.
yes,USA,Yes,Yes,AU2RMH9IZP60M,54,6,AAN,passive,plausible,159,The recluse was taunted by the windbag.
